response_catalog_id|response_catalog_description|response_type_cd|response_catalog_header|severity_cd
40402|The AverageHourlyHeatInputRate reported for [key] is inconsistent with the value recalculated from the run and fuel data for the operating level.|CHECK||
40403|The OilVolumeUnitsOfMeasure in the oil flow records for MonitoringSystemID(s) [system] are inconsistent.|CHECK||
40406|You have defined one or more fuel flow records for [key] which does not have an associated run record.|CHECK||
40407|You have defined more than one fuel flow record for [key].  Duplicate records have been disregarded and only the last record has been used for all further evaluations.|CHECK||
40408|You did not report a value for [fieldname] in the oil flow record for [key].  You must report a value in this field when you are using an OILV system.|CHECK||
40409|The OilGCVUnitsOfMeasureCode in the oil flow record for [key] is not valid.  You must report GCV in BTULB when you report a value for OilMass.|CHECK||
40411|The [fieldname] is inconsistent with the OilVolumeUnitsOfMeasureCode for [key].|CHECK||
41693|The RATA status for [key] could not be determined, because the prior [max]-level flow RATA with TestNumber [maxtestnum] has not yet been evaluated.|CHECK||
40413|You did not report a value for [fieldname] in the oil flow record for [key]. You must report a value for [fieldname] when you are using an OILM system.|CHECK||
40415|The OilMass recalculated from the OilVolume and OilDensity reported in the oil flow record for [key] does not equal the reported value.|CHECK||
40416|The heat input recalculated from the values reported in the oil record for [key] does not equal the reported OilHeatInput.|CHECK||
40419|The heat input recalculated from the values reported in the gas record for [key] is not equal to the GasHeatInput.|CHECK||
40420|This test included one or more runs with an HourlyHeatInputRate which is greater than or equal to the HourlyHeatInputRate for a run for a higher operating level.|CHECK||
40422|You have reported this unit default test to determine a unit-and-fuel specific NOX default for LME, but you do not have an active NOXM LME methodology record in your monitoring plan.|CHECK||
40423|The test was conducted at the same time as another test for the same Unit ID and fuel.|CHECK||
41798|You have reported two Monitor System Component records for [key] with overlapping start and end times during the evaluation period.|CHECK||
40428|You have reported a RunUsedIndicator in runs for more than one operating level of this test.  The default NOx emissions rate should only be calculated from the runs of one operating level.|CHECK||
40429|Some runs for OperatingLevelForRun [level] of this test have RunUsedIndicators equal to 1 indicating that the run was used to calculate the default NOx emissions rate, but other runs for this operating level do not have RunUsedIndicators equal to 1.  The default NOx emissions rate must be calculated from all the runs of one operating level.|CHECK||
41947|There is not a valid reporting frequency record for the monitoring plan.|CHECK||
41948|There are no valid Monitoring Method records for the location during the current reporting period.|CHECK||
40920|One or more of the operating level records is missing for the Appendix E Correlation Test in the AECorrelationSummary record|CHECK||
40921|The CalcAverageHourlyHIRate is blank for one or more operating levels in the AECorrelationSummary record|CHECK||
40922|The CalcMeanRefValue field is blank for one or more operating levels in the AECorrelationSummary record|CHECK||
40923|The OperatingConditionCode of E reported in the HPFF record for NOXR for FuelCode [fuelcd] indicates that the fuel is an emergency fuel, but this is inconsistent with the IndicatorCode in the UnitFuel record for the fuel.|CHECK||
40924|You reported MonitoringSystemID [ID] in the HPFF record for NOXR for FuelCode [fuelcd], but there is no MonitorSystem record for this system in your monitoring plan that was active during the hour.|CHECK||
40925|You did not report a MonitoringSystemID in the HPFF record for NOXR for FuelCode [fuelcd], but you did not report an OperatingConditionCode of E.  You must report a NOXE MonitoringSystemID for non-emergency fuels.|CHECK||
40926|You reported MonitoringSystemID [ID] in the HPFF record for NOXR for FuelCode [fuelcd], but this system is not a NOXE monitoring system.|CHECK||
40927|The AdjustedHourlyValue reported in the DHV record for NOXR is inconsistent with the value recalculated from the HPFF and HFF records.|CHECK||
40928|The ParameterValueForFuel reported in the HPFF record for NOXR for FuelCode [fuelcd] is inconsistent with the value recalculated from the Appendix E curve.|CHECK||
40930|The NOx emission rate could not be determined, because you did not report one and only one missing data default record for NORX for FuelCode [fuelcd] in your monitoring plan that was active during current hour.|CHECK||
41799|The prior [testtype] for [key] with TestNumber [testnum] is a transmitter/transducer test], but this type of test is inappropriate for the SampleAcquisitionMethodCode for the fuel flowmeter.  A transmitter/transducer test can only be performed on a NOZ, VEN, and ORF fuel flowmeter.|CHECK||
40932|The NOx emission rate could not be determined, because the DefaultValue in the NORX default record for FuelCode [fuelcd] is invalid.|CHECK||
40933|You reported an OperatingConditionCode of W in the DHV record for NOXR for FuelCode [fuelcd], but the AdjustedHourlyValue is less than the minimum allowable substitute data value according to Appendix E sec. 2.5.2.1.|CHECK||
40934|You reported a SegmentNumber in the HPFF or DHV record for NOXR for FuelCode [fuelcd].  This field should be blank when OperatingConditionCode is [OpCode].|CHECK||
41803|The BeginDate reported for [key] is earlier than the UnitMonitorCertBeginDate in the associated Unit Program record.|CHECK||
41804|"According to the monitoring system record, the SystemDesignationCode for the system reported in this record is not equal to ""PB"".  This test extension exemption is only valid for primary bypass systems."|CHECK||
40937|The SegmentNumber reported in the HPFF or DHV record for NOXR for FuelCode [fuelcd] is inconsistent with the calculated heat input.|CHECK||
41811|You reported an MODCCode of [MODC] in the MHV record for [param], but you reported an UnadjustedHourlyValue that is greater than the average of the measured hour before and measured hour after.|CHECK||
40939|The EndDate in the single-level claim for this RATA is not prior to the begin date of this RATA.|CHECK||
40940|The TestResultCode indicates that the test was aborted.  If the test was aborted for a reason not related to monitor performance, you should not report the test.|CHECK||
41456|ORIS Code [ORIS] does not exist in the ECMPS database.  The file was not imported.|IMPORT||
40942|You reported a DefaultWAF that was not equal to 0.9900 or 0.9950 for [key].  A DefaultWAF of .9900 or .9950 are the only allowable values.|CHECK||
40943|The BAF for [ParamCode] MonitoringSystemID [ID] cannot be determined, because a prior RATA could not be found.|CHECK||
40944|The BAF for [ParamCode] MonitoringSystemID [ID] cannot be determined, because the prior RATA has critical errors.|CHECK||
40945|The BAF for [ParamCode] MonitoringSystemID [ID] cannot be determined, because the prior RATA failed.|CHECK||
40946|The BAF for [PARAMCODE] MonitoringSystemID [ID] could not be determined, because the prior RATA had critical errors.|CHECK||
40947|The BAF for [ParamCode] MonitoringSystemID [ID] cannot be determined, because the prior RATA was aborted.|CHECK||
41457|One or more units in the file for ORIS Code [ORIS] does not exist in the ECMPS database.  The file was not imported.|IMPORT||
40949|For one or more runs of this RATA the CEM Value and/or Reference Value was equal to zero.|CHECK||
40950|Your reported CEM Value and/or Reference Value for [key] is less than or equal to zero.|CHECK||
41812|You reported an MODCCode of [MODCCode] in the DHV record for [param], but you reported an AdjustedHourlyValue that is greater than the average of the measured hour before and measured hour after.|CHECK||
40952|This check result is obsolete.|CHECK||
40953|You reported a ReinstallationDate and/or ReinstallationHour for an accuracy test that, according to the accuracy test method, was performed in-line.|CHECK||
40954|The ParameterValueForFuel reported in the HPFF record for [parameter] for FuelCode [fuelcd] is outside the range of allowable values for the fuel type.|CHECK||
40955|The ParameterValueForFuel reported in the HPFF record for DENSOIL for FuelCode [fuelcd] is less than the minimum value.|CHECK||
41710|You reported a TestReasonCode that is not appropriate for a one-level Gas Calibration Test.  A one-level Gas Calibration test is a QA test.|CHECK||
40960|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for SO2M is inconsistent with [sum], the sum of the hourly values reported in the DHV records for the reporting period.|CHECK||
40961|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for SO2M for the reporting period is inconsistent with the recalculated value of [calcval].|CHECK||
40962|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for CO2M for the reporting period is inconsistent with the recalculated value of [calcval].|CHECK||
40963|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for CO2M is inconsistent with [sum], the sum of the hourly values reported in the DHV records for the reporting period.|CHECK||
40964|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for HIT for the reporting period is inconsistent with the recalculated value of [calcval].|CHECK||
40965|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for HIT is inconsistent with [sum], the sum of the hourly values reported in the DHV records for the reporting period.|CHECK||
40966|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for OPTIME is inconsistent with [calcval], the sum of the hourly values reported in the Hourly Operating Data records for the reporting period.|CHECK||
40967|You did not report a Summary Value record for OPTIME for the reporting period.  While this information was not required for legacy EDR data, it is required for ECMPS.|CHECK||
40968|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for OPHOURS is inconsistent with [calcval], the number of operating hours reported in the Hourly Operating Data records for the reporting period.|CHECK||
40969|Another [testtype] with this test number already exists. You must assign a different test number.|CHECK||
40970|You reported an invalid Year in the Test Summary record for Location [LocationID], TestTypeCode [TestTypeCode] and Test Number [TestNumber].  The test was not imported.|IMPORT||
40971|There is no MonitorLoad record for this unit or pipe that was active during the baseline data collection period.|CHECK||
40972|There are no active UnitCapacity records for this unit or for all units linked to this pipe during the baseline data collection period.|CHECK||
40975|The test identified by the [fieldname] in the fuel flow-to-load baseline data cannot be found.|CHECK||
40976|The test identified by the [fieldname] in the fuel flow-to-load baseline data was conducted for a flowmeter component that does not belong to this monitoring system.|CHECK||
40977|You have not reported a PEITestNumber in the fuel flow-to-load baseline data, even though this type of flowmeter generally requires a primary element visual inspection.  |CHECK||
40978|The BeginDate and BeginHour of the System Component record associated with the flowmeter in this system is later than the begin date and hour of the baseline data collection period, or the associated PEI or Accuracy Test.|CHECK||
40979|According to the Accuracy Test (and PEI) associated with the fuel flow-to-load baseline data, the begin date and hour of the baseline data collection period is prior to the date when the accuracy test (and PEI) were completed or the flowmeter was reinstalled.|CHECK||
40980|The number of hours excluded in the baseline data collection period exceeds the number of available clock hours in the period.|CHECK||
40981|The [fieldname] does not correspond to the MaximumLoadUnitsOfMeasure and SystemTypeCode of the system reported in the monitoring plan.|CHECK||
40982|"You should not report a value for [fieldname] when the TestResultCode is equal to ""EXC168H"" or ""FEW168H""."|CHECK||
40983|You did not report any operating level data for this test.|CHECK||
40984|You reported a TestDescription, but this is not appropriate for this test type.  Use the TestComment field to enter additional information about the test.|CHECK||
40985|You have reported both a MonitoringSystemID and a ComponentID for this test.  This is invalid.|CHECK||
40986|The type of [fieldname] associated with this test is not appropriate for the test type.|CHECK||
40987|The GracePeriodIndicator is not appropriate for this test type.|CHECK||
40988|You have reported at least one Appendix Heat Input from Gas record for Location [LocationID], TestTypeCode [TestTypeCode] and Test Number [TestNumber], which is not associated with a GAS fuel flow system.  This Appendix E test was not imported.|CHECK||
40989|You have reported at least one Appendix Heat Input from Oil record for Location [LocationID], TestTypeCode [TestTypeCode] and Test Number [TestNumber], which is not associated with an OILV or OILM fuel flow system.  This Appendix E test was not imported.|CHECK||
41717|You reported a [fieldname], but this is not appropriate for a three-level Gas Flow Meter Calibration test.|CHECK||
40991|The heat input calculated for the configuration is inconsistent with the sum of the reported heat input at the units in this configuration.|CHECK||
40992|The OperatingTime reported for one (or more) stacks/pipes is greater than the sum of the operating times reported for the units for the hour.|CHECK||
41731|You reported a TestLocationID [value] that is not equal to the StackID of the test, but, according to the CSUnitTestIndicator, the tests were conducted at the common stack.  You must report an CSUnitTestIndicator of 1 if the tests were conducted at the unit.|CHECK||
40994|The HourLoad reported at the common stack/pipe is inconsistent with the load and operating time values reported at the units linked to the stack/pipe.|CHECK||
40995|The OperatingTime reported at the common stack/pipe is less than the OperatingTime reported for one or more units linked to the stack/pipe.|CHECK||
40996|The OperatingTime reported for the unit is less than the OperatingTime reported for one or more multiple stacks linked to the unit.|CHECK||
41842|You reported a QA Certification Event record for QACertEventCode [code] QACertEventDate [eventdate] for [compkey], but you did not perform a subsequent daily calibration test.  An invalid daily calibration test completed on [invdate] was ignored.|CHECK||
40998|The OperatingTime reported for the unit is greater than the sum of operating times at the multiple stacks linked to the unit.|CHECK||
41001|Hourly Load does not match at all stacks in the Multiple Stack Configuration|CHECK||
41002|You have reported [fieldname] for [key], but this value does not apply to this type of claim.|CHECK||
41003|There are missing or non-sequential OperatingLevelForRun and RunNumbers in this test.  Run numbers must begin with 1 and be consecutive within the entire test or within each operating level.  The lowest OperatingLevelForRun must be equal to 1.|CHECK||
41004|The begin time was later than the end time for [key].|CHECK||
41005|The HourLoad reported in the Hourly Operating record is invalid.  The value must be greater than or equal to 0.|CHECK||
41006|The LoadUnitsOfMeasureCode reported in the Hourly Operating record is invalid.|CHECK||
41007|You reported HourLoad in the Hourly Operating record.  This field should be blank for a non-operating hour.|CHECK||
41008|You reported a LoadUnitsOfMeasureCode in the Hourly Operating record.  This field should be blank for a non-operating hour.|CHECK||
41009|You reported HourLoad in the Hourly Operating record.  This field should be blank for a non-load-based unit.|CHECK||
41010|You reported a LoadUnitsOfMeasureCode in the Hourly Operating record.  This field should be blank for a non-load-based unit.|CHECK||
41012|"MultipleFuelFlag is reported as ""S"", but multiple hourly fuel flow records are reported."|CHECK||
41013|"MultipleFuelFlag is reported as ""M"", but multiple hourly fuel flow records have not been reported."|CHECK||
41014|The MODCCode reported in the DHV record for [param] is invalid.|CHECK||
41015|You reported an MODCCode of 26 in the DHV record for [param], but the AdjustedHourlyValue does not equal 1.|CHECK||
41016|You reported [fieldnames] in the DHV record for HI.  This data should be blank.|CHECK||
41017|You reported [fieldname] in the DHV record for SO2.  This data should be blank.|CHECK||
41018|You reported [fieldnames] in the DHV record for NOX.  This data should be blank.|CHECK||
41019|You reported PercentAvailable in the DHV record for CO2.  This field should be blank.|CHECK||
41020|You reported a value for [fieldnames] in the oil flow record for [key]. You must not report a value in this field if you are using an OILM system.|CHECK||
41021|You reported an MODCCode of 16 in the MHV record for [param], but the UnadjustedHourlyValue exceeds 2.|CHECK||
41022|You reported an MODCCode of 19 in the MHV record for [param], but the AdjustedHourlyValue does not equal the DefaultHighRange reported in the [comptype] span record in your monitoring plan.|CHECK||
41023|You reported an MODCCode of 20 in the MHV record for [param], but the AdjustedHourlyValue does not equal 200 percent of the FullScaleRange reported in the [comptype] span record in your monitoring plan.|CHECK||
41025|You reported an MODCCode of 20 in the MHV record for NOXC, but the AdjustedHourlyValue does not equal 200 percent of the FullScaleRange reported in the NOX span record in your monitoring plan.|CHECK||
41026|You did not report a FuelCode in the Hourly Operating record.|CHECK||
41027|The FuelCode reported Hourly Operating record is invalid.|CHECK||
41028|You reported a FuelCode in the Hourly Operating record.  This value should only be reported if you use fuel-specific missing data or have an unmonitored bypass stack that reports emissions based on fuel-specific maximum values.|CHECK||
41264|You reported an MODCCode of [modc] in the MHV record for [param], but the AdjustedHourlyValue does not equal the MECValue reported in the [comptype] span or fuel-specific default record in your monitoring plan.|CHECK||
41268|You reported an MODCCode of 21 in the MHV record for NOXC, but the UnadjustedHourlyValue is greater than 0.|CHECK||
41814|You reported a MODCCode of [MODC] in the MHV record for [param], but this MODC is not appropriate when this value is used in a diluent system to calculate the heat input based emission rate.|CHECK||
41033|You reported [fieldnames] in the DHV record for CO2.  This data should be blank.|CHECK||
41034|You reported a FormulaID in the DHV record for CO2C, but this field should be blank when missing data substitution is applied.|CHECK||
41035|You reported a FormulaID in the DHV record for H2O, but this field should be blank when missing data substitution is applied.|CHECK||
41036|You reported FormulaID [ID] in the DHV record for [param], but there is no active Formula record for this formula in your monitoring plan.|CHECK||
41212|You did not report an active CO2N diluent cap default record in your monitoring plan for the hour.  The use of the diluent cap to calculate HI is only applicable for legacy data.|CHECK||
41039|You reported MonitoringSystemID [ID] in the DHV record for HI, but there is no active MonitorSystem record for this system in your monitoring plan.|CHECK||
41040|You reported MonitoringSystemID [ID] in the DHV record for HI, but this system is not a CO2 or O2 monitoring system.|CHECK||
41041|You reported MonitoringSystemID [ID] in the DHV record for H2O, but there is no MonitorSystem record for this system in your monitoring plan that was active during the hour.|CHECK||
41042|You reported MonitoringSystemID [ID] in the DHV record for H2O, but this system is not an H2O monitoring system.|CHECK||
41043|You reported a MonitoringSystemID in the MHV record for FLOW, but this is not appropriate for the MODCCode.|CHECK||
41044|You did not report a MonitoringSystemID in the MHV record for O2C with a MoistureBasis of [basis].|CHECK||
41045|You reported a MonitoringSystemID in the MHV record for O2C, but this is not appropriate for the MODCCode.|CHECK||
41046|You did not report a ComponentID in the MHV record for O2C with a MoistureBasis of [basis].|CHECK||
41047|You reported a ComponentID in the MHV record for O2C with a MoistureBasis of [basis], but this field should be blank whenever missing data substitution is performed.|CHECK||
41049|You reported ComponentID [comp] in the MHV record for O2C with a MoistureBasis of [basis], but this is not an O2 component.|CHECK||
41050|The Monitoring System record for the fuel flow system used in this test did not contain a FuelCode.  The Appendix E test could not be validated.|CHECK||
41051|The FuelCode in the Monitor System record for the fuel flow system is not equal to the FuelCode associated with the NOXE system.|CHECK||
41052|You reported [datefield2] and [hourfield2] which is prior to [datefield] and [hourfield] for [key].|CHECK||
41053|You did not report a MonitoringSystemID or ComponentID for [key].|CHECK||
41054|According to the Monitoring System Component records in the monitoring plan, the component was not active during the event reported in the event record for [key].|CHECK||
41055|You did not report a ComponentID for [key].  You must provide a ComponentID when the RequiredTestCode indicates that you must perform a component-specific test.|CHECK||
41056|You reported a MonitoringSystemID or ComponentID, but this is not appropriate for the [fieldname] reported in the event record for [key].|CHECK||
41057|You reported a Year/Quarter which is outside the range of acceptable values for this record.|CHECK||
41058|This test extension exemption record only applies to ozone-season-only reporters.|CHECK||
41059|This test extension exemption should only be reported for an SO2 or SO2R system.  According to the monitoring system record, the system defined in this record is not an SO2 or SO2R system.|CHECK||
41060|According to the monitoring plan data, the [item] defined in this test extension exemption record was not active during the quarter.|CHECK||
41061|You reported a [fieldname], which is not appropriate for this type of test extension exemption.|CHECK||
41062|According to the analyzer range records, the component reported in this test extension exemption record is not a dual-range analyzer.  A RANGENU extension exemption only applies to dual-range analyzer.|CHECK||
41063|This test extension exemption should only be reported for a location with a fuelflow system with a FuelCode equal to [value].  According to the monitoring plan, there are no such systems defined at this location.|CHECK||
41064|You reported a HoursUsed of [value] in this record.  The HoursUsed must be zero to qualify for this test extension exemption.|CHECK||
41065|"You reported a TestResultCode of ""FAILED"", but the results recalculated or determined from the other reported values indicate that the test passed."|CHECK||
41066|You reported an OnlineOfflineIndicator for [key] that indicates that the unit was offline, but 7-day calibration test injections must be performed when the unit is online.|CHECK||
41067|You reported MonitoringSystemID [ID] in the MHV record for H2O, but there is no MonitorSystem record for this system in your monitoring plan that was active during the hour.|CHECK||
41068|You reported MonitoringSystemID [ID] in the MHV record for H2O, but this system is not an H2OM or H2OT monitoring system.|CHECK||
41069|Another test with this test type and test number already exists. You must assign a different test number.|CHECK||
41070|Another test with this test type and test number has already been submitted for this location.  This test cannot be submitted with this test number.  If this is a different test, you should assign it a unique test number.  |CHECK||
41072|The BAF for [ParamCode] MonitoringSystemID [ID] cannot be determined, because the prior RATA had critical errors or because of a RATA Status error listed on this report.|CHECK||
41073|The AdjustedHourlyValue reported in the DHV record for NOXR is inconsistent with the recalculated value for NOX MonitoringSystemID [ID].|CHECK||
41074|You reported MonitoringSystemID [sys] ComponentID [comp] in the MHV record for O2C with a MoistureBasis of [basis], but there is no MonitorSystemComponent record for this system and component in your monitoring plan that was active during the hour.|CHECK||
41075|You reported MonitoringSystemID [sys] ComponentID [comp] in the MHV record for CO2C, but there is no MonitorSystemComponent record for this system and component in your monitoring plan that was active during the hour.|CHECK||
41076|This record is not appropriate for a RATA conducted using this reference method.|CHECK||
41238|The DefaultValue reported in the active Default record for CO2N in your monitoring plan is invalid.  The value must be greater than 0.|CHECK||
41116|"You reported ""SPTS"" as the SubstituteDataCode for [key], but based on your formula records, you should be using the Inverse Part 75 missing data procedures."|CHECK||
41071|"IMPORTANT FYI:  This test was determined to be ""INVALID"" due to one or more Critical Level 2 errors.  The reported data indicate that the test was not performed according to the requirements and therefore cannot be used to validate emissions data.  Unless you make corrections to the test data and re-run the evaluation, this test will be disregarded by the emissions evaluation routine.  If you are unable to eliminate the Critical Level 2 error(s) by correcting the test data but you believe this test should be considered valid, contact your CAMD analyst."|CHECK||
41077|"This record should not be reported, because the RunStatusCode is equal to ""NOTUSED"".  You should only report Flow RATA Run and RATA Traverse records for runs that are used in the calculation of relative accuracy."|CHECK||
41078|There are no units in the file.  This file was not imported.|CHECK||
41079|There are no tests, certification events, or test extension/exemption records in the file.  The file was not imported.|CHECK||
41080|There are no emissions data in the file.  The file was not imported.|CHECK||
41081|The CurrentReportingPeriodTotal in the Summary Value record for CO2M is missing or the record is missing.|CHECK||
41082|You reported a value for the CurrentReportingPeriodTotal in the Summary Value record for [param], but there was no emissions data in your file or an appropriate CO2 Method defined in your monitoring plan.|CHECK||
41083|You reported [key], but you have not reported a [formula] formula that was active during the evaluation period, which is required when using this monitoring methodology with multiple NOXE systems for different fuels.|CHECK||
41084|You have reported [key], but you have not reported a [formula] formula that was active during the evaluation period, which is required when using this monitoring methodology with fuel flow systems measuring more than one fuel.|CHECK||
41085|The CurrentReportingPeriodTotal in the Summary Value record for SO2M is missing or the record is missing.|CHECK||
41086|You reported a value as the CurrentReportingPeriodTotal in the Summary Value record for SO2M, but there were no Hourly Operating Data records or appropriate SO2 Methods defined in your monitoring plan.|CHECK||
41087|You reported a value as the CurrentReportingPeriodTotal in the Summary Value record for HIT, but there were no Hourly Operating Data records or appropriate HI Methods defined in your monitoring plan.|CHECK||
41088|The CurrentReportingPeriodTotal in the Summary Value record for HIT is missing or the record is missing.|CHECK||
41089|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for NOXR for the reporting period is inconsistent with the recalculated value of [calcval].|CHECK||
41090|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for NOXR is inconsistent with [average], the average of the hourly values reported in the DHV records for the reporting period.|CHECK||
41091|The CurrentReportingPeriodTotal in the Summary Value record for NOXR is missing or the record is missing.|CHECK||
41092|You reported a value as the CurrentReportingPeriodTotal in the Summary Value record for NOXR, but this is not appropriate, either because there were no Hourly Operating Data records in your emissions file, or because this value is not consistent with the unit program records and monitoring methodologies in your monitoring plan.|CHECK||
41093|The CurrentReportingPeriodTotal in the Summary Value record for OPHOURS is missing or the record is missing.|CHECK||
41094|You have not defined a maximum NOx emission rate default value for the fuel to be used for missing data purposes in the monitoring plan.|CHECK||
41095|The maximum NOx emission rate calculated for this test exceeds the fuel-specific maximum NOx rate default value that was reported in the monitoring plan.|CHECK||
41096|The heat input at the unit does not equal the sum of heat input at the multiple stacks linked to this unit.|CHECK||
41830|Another Certification Test record with this test number has already been submitted for this location.  If this is a different test, you must assign it a unique test number.   If you wish to edit the existing test, you should import or download the test.|CHECK||
41099|The HourLoad in the Hourly Operating record for all multiple stacks linked to this unit are not equal.|CHECK||
41100|You reported a BeginDate of [date], which is earlier than the date reported as the commence operation (CO) or commence commercial operation (CCO) date.  If the CO date was reported as the capacity begin date but you have only reported the CCO date to CAMD, use the CCO date as the BeginDate to eliminate this error.|CHECK||
41101|You reported a FormulaID in the DHV record for NOXR.  This field should be blank unless you determine the NOX emission rate using multiple Appendix E curves.|CHECK||
41102|You reported FormulaID [ID] in the DHV record for NOXR, but the FormulaCode of this formula is not appropriate for calculating NOXR from multiple fuels.  The FormulaCode should be E-2.|CHECK||
41103|You reported an UnadjustedHourlyValue in the DHV record for H2O.  This field should be blank.|CHECK||
41104|No components have been associated with the Monitoring System identified in the NOx Rate DerivedHourlyValueData record for the Constant Mix configuration.|CHECK||
41105|Multiple components have been associated with the Monitoring System identified in the NOx Rate DerivedHourlyValueData record for the Constant Mix configuration.|CHECK||
41107|You reported an InstallDate for [key], but you have indicated that the control equipment was part of the original unit.|CHECK||
41108|The NOx emission rate could not be determined because a prior Appendix E test for MonitoringSystemID [ID] could not be found.|CHECK||
41213|You have reported a ScaleTransitionPoint for [key] that is not within the valid range of values.  The ScaleTransitionPoint should be between one-half and one times the FullScaleRangeValue.|CHECK||
41110|The NOx emission rate could not be determined because the prior Appendix E test for MonitoringSystemID [ID] had critical errors.|CHECK||
41214|You reported more than one active H2O default record for the hour, but you did not report an MHV record for H2O to record the actual default used.|CHECK||
41215|You did not report an active SO2R default record in your monitoring plan for use in F23 calculation for the hour.|CHECK||
41113|The NOx emission rate could not be determined, because the prior Appendix E test for MonitoringSystemID [ID] has not been evaluated.|CHECK||
41372|You reported an HPFF record for HI for FuelCode [fuelcd], but you do not have an active Appendix D heat input method for the hour.|CHECK||
41115|"You reported ""REV75"" as the SubstituteDataCode for [key], but based on your formula records, you should be using the Standard Part 75 missing data procedures."|CHECK||
41279|You reported [fieldnames] in the MHV record for CO2C.  This data should be blank.|CHECK||
41117|You reported a MassFlowRate in the HFF record for FuelCode [fuelcd].  This value should be blank for a gas fuel.|CHECK||
41118|You reported a FormulaID in the HPFF record for GCV for FuelCode [fuelcd].  This field should  be blank.|CHECK||
41119|You reported [fieldnames] in the HPFF record for GCV for FuelCode [fuelcd].  This data should be blank.|CHECK||
41121|You reported [fieldnames] in the HPFF record for HI for FuelCode [fuelcd].  This data should be blank.|CHECK||
41122|You reported [fieldnames] in the HPFF record for SO2 for FuelCode [fuelcd].  This data should be blank.|CHECK||
41123|You reported a FormulaID in the HPFF record for SULFUR for FuelCode [fuelcd].  This field should be blank.|CHECK||
41124|You reported [fieldnames] in the HPFF record for SULFUR for FuelCode [fuelcd].  This data should be blank.|CHECK||
41125|You reported [fieldnames] in the HPFF record for CO2 for FuelCode [fuelcd].  This data should be blank.|CHECK||
41126|You reported [fieldnames] in the HPFF record for FC for FuelCode [fuelcd].  This data should be blank.|CHECK||
41127|You reported a MonitoringSystemID in the HPFF record for FC for FuelCode [fuelcd].  This field should be blank.|CHECK||
41128|You reported a FormulaID in the HPFF record for DENSOIL for FuelCode [fuelcd].  This field should be blank.|CHECK||
41129|You reported [fieldnames] in the HPFF record for DENSOIL for FuelCode [fuelcd].  This data should be blank.|CHECK||
41130|You have reported a methodology for [key], which has previously been a valid methodology, but is no longer allowed.|CHECK||
41131|You did not report a MassFlowRate in the HFF record for FuelCode [fuelcd].  This value is required to calculate SO2.|CHECK||
41132|You did not report a FormulaID in the DHV for SO2.  This is acceptable for legacy data, but after 1/1/2008, a FormulaID for a D-12 formula is required.|CHECK||
41133|You did not report a FormulaID in the DHV record for CO2.|CHECK||
41135|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for NOXM for the reporting period is inconsistent with the recalculated value of [calcval].|CHECK||
41136|The CurrentReportingPeriodTotal of [sumval] reported in the Summary Value record for NOXM is inconsistent with [sum], the sum of the hourly values reported in the DHV records for the reporting period.|CHECK||
41137|The CurrentReportingPeriodTotal in the Summary Value record for NOXM is missing or the record is missing.|CHECK||
41138|You reported a value as the CurrentReportingPeriodTotal in the Summary Value record for NOXM, but there were no Hourly Operating Data records or appropriate NOX Methods defined in your monitoring plan.|CHECK||
41139|You reported [key] indicating that the unit is an ozone-season-only reporter, but according to your Reporting Frequency records, the unit reports on an annual basis.|CHECK||
41140|You did not provide [fieldname] for [key].  This information will be required for ECMPS submissions.|CHECK||
41141|The values in this record could not be calculated because of invalid data.|CHECK||
41142|The values in this record could not be calculated because this record has not yet been saved.  You will also need to enter a ReferenceMethodCode in the RATA Summary record before these values can be calculated.|CHECK||
41143|The values in this record could not be calculated because the calculated and default WAFs reported in the associated RATA Summary record were not valid.|CHECK||
41144|The values in this record could not be calculated because the number of RATA Traverse records is less than the minimum of 12.|CHECK||
41145|You reported a ComponentID in the MHV record for [param], but this field should be blank whenever missing data substitution is performed.|CHECK||
41146|You have reported that the data for [key] was demonstration data, but Yr1QualificationDataYear is not equal to the QualificationYear.|CHECK||
41147|The values in this record could not be recalculated, because this record is not appropriate for a RATA conducted using ReferenceMethodCode [method].|CHECK||
41148|You reported a DHV record for NOXR, but you did not report an active NOXR method record in your monitoring plan for the hour.|CHECK||
41149|The values could not be recalculated because of invalid data in the reported reference RATA(s).|CHECK||
41150|The values could not be recalculated because the software could not identify the reference RATA(s) at the other multiple stack(s) linked to the unit.|CHECK||
41151|You reported [datefield2] that is prior to the year of the [datefield1] for [key].|CHECK||
41152|The values in this record could not be calculated because you did not report any gas or oil records.|CHECK||
41153|The ReferenceMethodCode in the RATA Summary Data record for [key] is null or is not appropriate for a RATA conducted for a [system type] system.|CHECK||
